node_id,tipo,titulo,canal,categoria,vistas,n_autores,n_comentarios_video,channel_id,video_url,comunidad,degree,strength,betweenness,closeness,articulation,component_increase,nombre,n_videos,n_comentarios_autor,author_handle,distinct_channels,distinct_videos,comment_count,recurrent,extra_comments
UC-hfX8J5JPJ-dfuakzegMLA,autor,,,,,,,,,0,1,1,0.0,0.22186561048893746,False,0,@normaleticiaorozcojuarez2418,1.0,1.0,/@normaleticiaorozcojuarez2418,1,1,1,False,0
UC-jS_kA9w-OmpupXDx156Rg,autor,,,,,,,,,0,1,1,0.0,0.22186561048893746,False,0,@simoncreyesc7579,1.0,1.0,/@simoncreyesc7579,1,1,1,False,0
UC-pNP6RMFuLg_-x7Ah_0kEA,autor,,,,,,,,,0,1,1,0.0,0.22186561048893746,False,0,@almacatalan2717,1.0,1.0,/@almacatalan2717,1,1,1,False,0
UC094EFEmMSdwVa8NQjjYBXg,autor,,,,,,,,,8,1,1,0.0,0.14614069809283917,False,0,@CelestinoQuej-j7k,1.0,1.0,/@CelestinoQuej-j7k,1,1,1,False,0
UC0HvfEWozTHbwl_iEmJNvVA,autor,,,,,,,,,2,1,1,0.0,0.1326122448979592,False,0,@OttoPalencia-b7r,1.0,1.0,/@OttoPalencia-b7r,1,1,1,False,0
UC0RpuMwkDKJYqgKHtsJRuWQ,autor,,,,,,,,,3,1,1,0.0,0.03644314868804665,False,0,@sabinamarinaguerra3248,1.0,1.0,/@sabinamarinaguerra3248,1,1,1,False,0
UC0aEyakBPqcBkVJiErfSupQ,autor,,,,,,,,,3,1,1,0.0,0.03644314868804665,False,0,@jhonymanuel9891,1.0,1.0,/@jhonymanuel9891,1,1,1,False,0
UC14qlobYKqD-DO0j6b75lcA,autor,,,,,,,,,2,1,1,0.0,0.1326122448979592,False,0,@megavision4488,1.0,1.0,/@megavision4488,1,1,1,False,0
UC1DpqK6vaPEkBOMNvypsKYg,autor,,,,,,,,,1,1,1,0.0,0.17422779922779924,False,0,@HectorCarranza-u4j4o,1.0,1.0,/@HectorCarranza-u4j4o,1,1,1,False,0
UC1NiEdJ7gk6FlDexIalWnGg,autor,,,,,,,,,2,1,1,0.0,0.1326122448979592,False,0,@BorisTebalán,1.0,1.0,/@BorisTebal%C3%A1n,1,1,1,False,0
UC1WlJfQmaIskYhP4gmWoamw,autor,,,,,,,,,5,1,1,0.0,0.026448979591836733,False,0,@marthareiss5434,1.0,1.0,/@marthareiss5434,1,1,1,False,0
UC1Y7x3h0c95Z8kUhi-Tzaeg,autor,,,,,,,,,4,1,1,0.0,0.170640756302521,False,0,@rosadiaz9235,1.0,1.0,/@rosadiaz9235,1,1,1,False,0
UC1vr9aaMI2crB0NvwFHUeoQ,autor,,,,,,,,,0,1,1,0.0,0.22186561048893746,False,0,@JoseSimilox-p6e,1.0,1.0,/@JoseSimilox-p6e,1,1,1,False,0
UC2Y_EHWQKevubk4vOEBBFxw,autor,,,,,,,,,0,1,1,0.0,0.22186561048893746,False,0,@alfonsomorales2653,1.0,1.0,/@alfonsomorales2653,1,1,1,False,0
UC2ngpd8UBQu4gcUYy0goAtg,autor,,,,,,,,,6,1,1,0.0,0.10232426303854876,False,0,@juliohernandez7438,1.0,1.0,/@juliohernandez7438,1,1,1,False,0
UC2weSE8rpqkGMOp6StYtVfg,autor,,,,,,,,,0,1,1,0.0,0.22186561048893746,False,0,@katerynsantiago2907,1.0,1.0,/@katerynsantiago2907,1,1,1,False,0
UC32oozucwCF3q8d4m8fyOUg,autor,,,,,,,,,1,1,1,0.0,0.17422779922779924,False,0,@RauldejesusOlivagonzalez,1.0,1.0,/@RauldejesusOlivagonzalez,1,1,1,False,0
UC3E9mAgP7VoAE5mZoAexl5g,autor,,,,,,,,,0,1,1,0.0,0.22186561048893746,False,0,@EnnioAroche,1.0,1.0,/@EnnioAroche,1,1,1,False,0
UC3MYTqpQqlWBuCB7Th0e0PA,autor,,,,,,,,,0,1,1,0.0,0.22186561048893746,False,0,@isaaclopez7220,1.0,1.0,/@isaaclopez7220,1,1,1,False,0
UC3NMzdMYryaw82kPTnsaljg,autor,,,,,,,,,0,1,1,0.0,0.22186561048893746,False,0,@marisosa7832,1.0,1.0,/@marisosa7832,1,1,1,False,0
UC3UVO7pTbeYvZ3ILEyRDskQ,autor,,,,,,,,,1,1,1,0.0,0.17422779922779924,False,0,@rosaelenaargueta79,1.0,1.0,/@rosaelenaargueta79,1,1,1,False,0
UC3XTwHxygNCgjndsg-UiCQA,autor,,,,,,,,,0,1,3,0.0,0.22186561048893746,False,0,@marioajset4283,1.0,3.0,/@marioajset4283,1,1,3,True,2
UC3YpzAr7pcdKC7BVFEpYzog,autor,,,,,,,,,2,1,1,0.0,0.1326122448979592,False,0,@carmenfigueroa1232,1.0,1.0,/@carmenfigueroa1232,1,1,1,False,0
UC3iIU62XKUOWuqL8BqBzj9A,autor,,,,,,,,,8,1,1,0.0,0.14614069809283917,False,0,@antonioduarte2288,1.0,1.0,/@antonioduarte2288,1,1,1,False,0
UC3qn1yJA5PeW9rkGPatQxiw,autor,,,,,,,,,0,1,1,0.0,0.22186561048893746,False,0,@VICTOREST19,1.0,1.0,/@VICTOREST19,1,1,1,False,0
UC4Avya4kmR4Q0FrfFdBozSQ,autor,,,,,,,,,1,1,1,0.0,0.17422779922779924,False,0,@davidlima1348,1.0,1.0,/@davidlima1348,1,1,1,False,0
UC4cXueR2bKGFJV0Fk76gwmA,autor,,,,,,,,,0,1,1,0.0,0.22186561048893746,False,0,@aluxdel4792,1.0,1.0,/@aluxdel4792,1,1,1,False,0
UC4kg7zuTfqQKLd2bkZrSYBA,autor,,,,,,,,,15,1,1,0.0,0.12383747522488185,False,0,@zoilagarcia9019,1.0,1.0,/@zoilagarcia9019,1,1,1,False,0
UC4wq3DcbfaG6dtCqn8Oyu3w,autor,,,,,,,,,0,1,1,0.0,0.22186561048893746,False,0,@hugoasencio7764,1.0,1.0,/@hugoasencio7764,1,1,1,False,0
UC5H8ASmMC9WrURmzeB4ySog,autor,,,,,,,,,0,1,5,0.0,0.22186561048893746,False,0,@ManuelEdran,1.0,5.0,/@ManuelEdran,1,1,5,True,4
UC5PrBbmUlQolwqmiru7yZhw,autor,,,,,,,,,8,1,1,0.0,0.14614069809283917,False,0,@lazarochavez8269,1.0,1.0,/@lazarochavez8269,1,1,1,False,0
UC5PyGvSfFM--OVKmQ3COu6g,autor,,,,,,,,,3,1,1,0.0,0.03644314868804665,False,0,@FreddyGmez,1.0,1.0,/@FreddyGmez,1,1,1,False,0
UC5bG9nc_JV3FsNP2KseQiYw,autor,,,,,,,,,0,1,1,0.0,0.22186561048893746,False,0,@giovannirodas4836,1.0,1.0,/@giovannirodas4836,1,1,1,False,0
UC5fvhAfm89JH8eDFdvc0xYw,autor,,,,,,,,,3,1,1,0.0,0.03644314868804665,False,0,@isaidiaz2388,1.0,1.0,/@isaidiaz2388,1,1,1,False,0
UC5hvEnRUzI4Kfvwnyi4QxqQ,autor,,,,,,,,,1,1,1,0.0,0.17422779922779924,False,0,@leonelsantizo5281,1.0,1.0,/@leonelsantizo5281,1,1,1,False,0
UC5wuDq3U3vRAhOQI3D7gNdw,autor,,,,,,,,,7,1,1,0.0,0.16792433326442008,False,0,@allanreneramirezgonzalez534,1.0,1.0,/@allanreneramirezgonzalez534,1,1,1,False,0
UC63tFvbQ_hJhGDi2nbjssjw,autor,,,,,,,,,2,1,1,0.0,0.1326122448979592,False,0,@AbigailRodas-w2r,1.0,1.0,/@AbigailRodas-w2r,1,1,1,False,0
UC650pRT-OYzny3GwOH8Cgfw,autor,,,,,,,,,0,1,1,0.0,0.22186561048893746,False,0,@edvinparedesherrera7632,1.0,1.0,/@edvinparedesherrera7632,1,1,1,False,0
UC6PvO1_k5lHKGdAPo5_C6TA,autor,,,,,,,,,0,1,1,0.0,0.22186561048893746,False,0,@johnmejia992,1.0,1.0,/@johnmejia992,1,1,1,False,0
UC6Uj1FT5JjDSF8vudvDxPAA,autor,,,,,,,,,1,1,1,0.0,0.17422779922779924,False,0,@alfredoortega9264,1.0,1.0,/@alfredoortega9264,1,1,1,False,0
UC6YSZqL0vEcI-niPKIMUGfw,autor,,,,,,,,,0,1,1,0.0,0.22186561048893746,False,0,@maxwellsales885,1.0,1.0,/@maxwellsales885,1,1,1,False,0
UC6xI_MOaxajIWpoP8BH6E_Q,autor,,,,,,,,,16,1,1,0.0,0.002857142857142857,False,0,@jahirdiaz5862,1.0,1.0,/@jahirdiaz5862,1,1,1,False,0
UC72gBAtyb_VXQlYDcFrh6oQ,autor,,,,,,,,,0,1,3,0.0,0.22186561048893746,False,0,@osmanmorales3012,1.0,3.0,/@osmanmorales3012,1,1,3,True,2
UC7IMsCxfZyWN7YQo8-JYa6Q,autor,,,,,,,,,4,1,2,0.0,0.170640756302521,False,0,@Burgos68,1.0,2.0,/@Burgos68,1,1,2,True,1
UC7VUuJr9cGh845CmTvf7TlQ,autor,,,,,,,,,0,1,1,0.0,0.22186561048893746,False,0,@LuisCastillo-oz4df,1.0,1.0,/@LuisCastillo-oz4df,1,1,1,False,0
UC7dadZG7kkGYnsNu6td0FbA,autor,,,,,,,,,1,1,1,0.0,0.17422779922779924,False,0,@lesolorzano,1.0,1.0,/@lesolorzano,1,1,1,False,0
UC816IGbFCZinfYS1LRDaaHg,autor,,,,,,,,,1,1,1,0.0,0.17422779922779924,False,0,@ingenieroar,1.0,1.0,/@ingenieroar,1,1,1,False,0
UC8F2V63KZ4ZEay6opX2hAQw,autor,,,,,,,,,0,1,1,0.0,0.22186561048893746,False,0,@carmenr6311,1.0,1.0,/@carmenr6311,1,1,1,False,0
UC8G5cJONY8L9voMyBW8Eoug,autor,,,,,,,,,0,1,1,0.0,0.22186561048893746,False,0,@luisparedes-pw6qt,1.0,1.0,/@luisparedes-pw6qt,1,1,1,False,0
