video_id,title,channel_id,channel_name,view_count,observed_comments,in_observed_network
MdIa2Dtj77I,"Consejos para tu viaje a Guatemala: hospedaje, telefonía, transporte y más!   ✈️ 🇬🇹",UCZyaNecz9ugVReNcNfXXurA,Aventuras de una programadora,134775,0,False
Mh94uXZvCLo,DE LOS BOTS AL RECHAZO: CERIMEDO Y LA “GUERRILLA DE LAS REDES” | CAPÍTULO 3 DE 8,UCBDxkiJk5id4TIOa1FotGUA,La  Coma,21,0,False
Mme4XikKnlc,Municipalidad anuncia 111 nuevos autobuses y 17 rutas para mejorar el transporte en la capital,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,3146,0,False
N1QkRu38BFE,¡YA CAYÓ ALITO MORENO! ALERTA LO DESTITUYEN DIPUTADOS VOTAN PARA SACARLO DEL SENADO! CLAUDIA INFORMA,UC2EbdGoJZwR_WvkmB0i4rMg,Alexis Burelo,15747,0,False
NCvoO61aIfw,Ya casi! Así avanza el Aerómetro que cambiará el transporte en Guatemala,UCkXkEfAaEGxUaIT6TBBkwMw,One Life,26744,0,False
NcIcixCdQH4,PNC garantiza seguridad a turistas que visitan el colcán de Agua,UCHsYnV67K3J0yJ4QeciVCww,PNCdeGuatemala,7681,0,False
Nc_Iy0MriYw,🛑🛑Actualización PROVIAL🛑🛑,UCuKuUrmHoNaJJHE27Aac9PQ,PROVIAL-CIV,179,0,False
NnKpTEfhWjI,✅ ASÍ es una EXHIBICION DE BUSES EN GUATEMALA,UCDfEVbDrimcKw5lfbps915g,De todo Gt,424874,0,False
O6gI0ooBM3E,¿Cómo es el tráfico en Guatemala? 56 días perdidos cada año y una emergencia nacional,UC8mJT9xUcwgEM1vaMaruysw,República TV,16786,0,False
OXf_VvvyIDw,Municipalidad de Guatemala 31/08/2026,UCW_PHqwqCCalvQGOEsVU0jw,Concejales de Oposición - Muni Guate,28,0,False
OgOICSTSa7k,¡DÉJAME VIVIR! GUATEMALA INTENSIFICA LA LUCHA CONTRA LA CACERÍA ILEGAL DE FAUNA SILVESTRE,UCgItjn_ZWFWcv1MlpKIkqgQ,IDocumenta,6,0,False
OkXlHx0hx-8,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,UCRwA1NUcUnwsly35ikGhp0A,Noticias Telemundo,14200,25,True
On7jqOm1bpg,🌟Seguimos avanzando🌱,UCAutgrPkiLhZxTB-Ujje1fw,CIV -Ministerio de Comunicaciones,10,0,False
Oy6sKBhduu4,"Realizan Reunión Ordinaria de #CODEDE, 25 de febrero 2025.",UC_ONTY8RI6b-VqB-dhQ5qBQ,Camarita Castro GT,84,0,False
Oztw_Hta52I,TRAFICO EN GUATEMALA,UC6ZUGqkstVjgNPvxtb90d8A,CHAPINISIMO,2326,0,False
PMaSDoG0H1U,¿Adiós al tráfico? Así es la nueva carretera Radial 6 para Guatemala,UCMJ_FUWKr7PyXfvY55BdGZg,La Red 1061,60,0,False
Pg1qw0KJI4E,"Surgen detalles de la masacre en Boca del Monte: madre de un bombero e influencer, entre víctimas",UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,20503,0,False
PjmxCj-a9Hg,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,3628,25,True
Q-MNTYsZgk4,¿Qué ha pasado con la contaminación del aire?,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,45,0,False
Q7j1OUxkn9w,Dañan puerta del área de parqueo del Congreso,UCmoP9Lvc92Bsl4Vu90kv9GQ,InfoGT Noticias,4725,0,False
Q7nhEeibBK4,Desfile navideño 2024  -   @MunicipalidaddeGuatemala-1551,UCbKjY2f2sGaghyrIeqjZvmg,ALIS MOLINA CREA,255,0,False
QUG4etpjgos,Guatemala Habla sobre la seguridad en el país,UCaivrAhro2BpsJdrPe-IyRg,Diario de Centro América,35,0,False
Qc_oHqe4Cjc,QUÉ GUARDAS EN LA CINTURA?  🔫🥕🥓🐷🤔@lilyvlogs6899 @ElJuanete1987 @Soychap1n @SimplementeFlori,UCzwR2o8LFAgAMfO0KIcFh0A,CANALES ROBOS Y MENTIRAS 💰🧐,2166,0,False
R-fRv_WoZOE,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGT,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,1284,0,False
RIpKKQh26cg,Ejército de Guatemala descubre túnel para fuga masiva en penal de Pavón,UCt5Dw7ePnn0AqPqRF8Xpjkw,TN23 Guatemala,29782,0,False
RjG-y7Y2-k4,#EnVivoDCA | Conferencia de prensa del Gobierno de Guatemala,UCaivrAhro2BpsJdrPe-IyRg,Diario de Centro América,239,0,False
Rk-3ks9mh3o,CIV ✔️ garantiza transparencia 🔍 y rendición de cuentas📝,UCAutgrPkiLhZxTB-Ujje1fw,CIV -Ministerio de Comunicaciones,21,0,False
ShYWqmOpjFk,Ministro de Comunicaciones reitera sobre avances en ruta Palín-Escuintla,UCrAoF9-9Vvb9_zK0t-m2Rhg,La Hora,242,0,False
SryjaiL2B4Q,#EnVivoDCA | Conferencia de prensa del Gobierno de Guatemala,UCaivrAhro2BpsJdrPe-IyRg,Diario de Centro América,352,0,False
THY2YBne3QE,"Los ALUCINANTES autobuses de Guatemala | ""Burras""",UCECJDeK0MNapZbpaOzxrUPA,Luisito Comunica,8190449,0,False
TSID63-IC3Y,Operativo Relámpago de -PROVIAL - DGT - DIACO -  en 41 Calle Zona 8 de la ciudad Capital.,UCuKuUrmHoNaJJHE27Aac9PQ,PROVIAL-CIV,332,0,False
TT4qJ5FXHYE,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,1075,4,True
TTijnAoFnzY,Conred reprograma simulacro nacional para el 24 de febrero,UCq0Cm-3SKthEySQc2JZBi1A,T13 Noticias Guatemala,200,0,False
TXlMv6bt25w,"Más de 42 mil afectados por lluvias en Guatemala; Conred reporta 1,046 emergencias",UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,2294,0,False
TnZGNY1RsJE,Festival navideño 2025 @MunicipalidaddeGuatemala-1551,UCuc8l25EFE17DV8dD64d2AQ,HeX4EveR,148,0,False
